Cód,Materia,Primer llamado,Hora
71.30,Introducción a la tecnología informática,"miércoles, 3 de febrero de 2027",8:00
71.38,Programación web,"jueves, 18 de febrero de 2027",13:00
71.45,Estructura de Datos y Programación,"miércoles, 17 de febrero de 2027",17:00
71.58,Informática General,"miércoles, 3 de febrero de 2027",8:00
71.59,Estructura de Datos y Programación,"miércoles, 10 de febrero de 2027",10:00
71.78,Gestión de Datos,"miércoles, 10 de febrero de 2027",18:00
71.80,Utilitarios en Informática,"lunes, 15 de febrero de 2027",8:00
71.88,Gestión de Datos,"miércoles, 10 de febrero de 2027",18:00
71.90,Certificaciones Tecnológicas,"jueves, 4 de febrero de 2027",8:00
71.93,Principios de Informática,"viernes, 5 de febrero de 2027",11:00
71.94,Introducción al Diseño de Bases de Datos Relacionales y No-Relacionales,"martes, 2 de febrero de 2027",14:00
72.03,Introducción a la Informática,"miércoles, 10 de febrero de 2027",17:00
72.07,Protocolos de Comunicación,"jueves, 11 de febrero de 2027",19:00
72.08,Arquitectura de Computadoras,"jueves, 11 de febrero de 2027",11:00
72.11,Sistemas Operativos,"jueves, 11 de febrero de 2027",18:00
72.18,Programación Funcional,"lunes, 15 de febrero de 2027",18:00
72.20,Redes de Información,"martes, 23 de febrero de 2027",18:00
72.25,Simulación de Sistemas,"viernes, 19 de febrero de 2027",9:00
72.27,Sistemas de Inteligencia Artificial,"jueves, 18 de febrero de 2027",9:00
72.31,Programación Imperativa,"miércoles, 10 de febrero de 2027",8:00
72.32,Diseño y Procesamiento de Documentos XML,"miércoles, 10 de febrero de 2027",8:00
72.33,Programación Orientada a Objetos,"miércoles, 10 de febrero de 2027",13:00
72.34,Estructura de Datos y Algoritmos,"jueves, 11 de febrero de 2027",9:00
72.35,Ingenieria de Software I,"lunes, 15 de febrero de 2027",16:00
72.36,Interacción Hombre-Computadora (HCI),"miércoles, 17 de febrero de 2027",19:00
72.37,Base de Datos I,"jueves, 11 de febrero de 2027",8:00
72.38,Proyecto de Aplicaciones Web,"martes, 23 de febrero de 2027",19:00
72.39,"Autómatas, Teoría de Lenguajes y Compiladores","miércoles, 17 de febrero de 2027",16:00
72.40,Ingenieria del Software II,"jueves, 18 de febrero de 2027",19:00
72.41,Base de Datos II,"martes, 23 de febrero de 2027",19:00
72.42,Programación de Objetos Distribuidos,"miércoles, 17 de febrero de 2027",19:00
